Compound,Category,BL1-1_Mat,BL1-2_Mat_Bottom,BL1-2_Mat_Top ,BL2-23_Mat,LCL4_Mat,BL2-11_Streamers,BL1-1_Salt ,BL1-1_Salt_1,BL1-1_Salt_2,BL2-23_Salt,BL4_Salt,SL_Salt_2,BL2-1_Brine,BL2-2_Brine,BL_Sediment_3,BL1-1_Sediment,BL2-23_Sediment,BL4_Sediment,LCL4_Sediment,SL_Sediment_1,SL_Sediment_3,BL2-4_Brine,LCL5_Sediment
Unknown,Unknown,0,0,0,0,0,3.124182432,0,0,0,0,0,0,0,0,1.14670925,0,0.411180283,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.007910148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.132167359,0,0,0,0
C19:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.229141571,0,0,0,0,0.346382464
iso-C20:2,Isoprenoid_Alkane,0,0,0,0,0,5.041337809,0,0,0,0,0,0,0,0,0,0,0,0,5.394630799,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125504748,0,0.675757121,0,0,0.617991715,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.016605557,0,0,0,0,0,0,0,0,0.480472904,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232238416
C19:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.504568557,0,0,0,0,0
n-C19:0,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500204032,0,0,0,0,0,0,0,0.130528939
n-C19:0,Short_Saturated_Alkane,0,0,0,0,0,0.475174949,0,0,0,0,0,0,0,0,0,0.165327099,0.419659048,0.431927205,0,0.213545289,0,0,0
n-C19:0,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238256448,0,0
C16:1 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.820661035,0.109715153,0,0,2.990575604
C16:1 FAME,FAME,0,0,0,0,0,0.68375188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C16:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87532965,0,0,0,6.897521181
n-C16:0 FAME,FAME,0,0,0,0,0,0.804260342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C16:0 FAME,FAME,0,0,0,0,0.254759789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255468535,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082523406,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.013664104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C17:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.026956918,0,0,0,0.593990231
n-C17:0 FAME,FAME,0,0,0,0,0,0,0.028266838,0,0,0,0,0,12.49268343,1.895725451,0,0,0,0,0,0,0,0.835131931,0
n-C17:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318740995,0,0,0,0,0,0,0,0
n-C17:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317837274,0,0,0,0.192732651
n-C17:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149575398,0,0,0,0,0
n-C20:0 ,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495017841,0,0,0,0,0,0,0,0
n-C20:0 ,Short_Saturated_Alkane,0,0,0,0,0,0.605221033,0.019398571,0,0,0,0.019870624,0,0.956611193,0.281237192,0,0.232048796,0.489945644,0.302338699,0.424240837,0.407203002,0.28906272,0.29511942,0.35985957
n-C20:0 ,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0.018061585,0,0,0,0,0,0,0,0,0,0,0,0,0
cy-C18:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38553572,0,0,0,0.670804498,0,0,0,0.245323447
cy-C18:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362977082,0,0,0,0
n-C17:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549007001,0,0,0,0.279236033
FAME,FAME,0,0,0,0,0,1.299597251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAME,FAME,0,0,0,0,0,1.454562951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polycyclic Hydrocarbon,Polycyclic_Alkane,0,0,0,0,0,1.300057923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C21:0,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400267751
n-C21:0,Short_Saturated_Alkane,0,0,0,0.41743148,0,1.975551826,0,0,0,0,0,0,0.239509461,0,1.68311347,0.397646239,1.0766507,1.170171522,0,0.491411559,0.583896251,0,0
C18:1 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.588371841,0,0,0,0
C18:1 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.389381471
C18:1 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.191420497,0,0,0,0
