RT,Compound,Category,BL1-1_Sediment,BL2-23_Sediment,BL2-2_Sediment_3,LCL4_Sediment,LCL5_Sediment,SL_Sediment_1,SL_Sediment_3,BL4_Sediment,BL1-2_Brine,BL2-23_Brine,BL4_Brine,BL2-4_Brine,LCL4_Brine,LCL5_Brine,BL2-2_Brine,BL2-11_Streamers,BL1-2_Mat_Top,BL1-2_Mat_Bottom,BL1-1_Mat,BL2-23_Mat,LCL4_Mat,LCL5_Mat,BL1-1_Salt,BL1-1_Salt_1,BL2-23_Salt,BL4_Salt,BL1-1_Salt_2,SL_Salt_2,SLSU_Spring,SLSL_Spring,SLSU_Sediment,SLP_Sediment
12.19,iso-C17:0 FAME,Isoprenoid,2.579814134,0.678883879,0.567078076,0,0.144226157,0,0.174992988,0.857313122,0,0,0,0,0,0,1.002152248,2.367267559,0,0,1.213154674,2.681448116,0.937173695,0.582517916,0,0.128063986,0,0.049113272,0.051457342,0,0,0,0,0.596012526
12.34,a-C16:0 FAME,Branched,2.454159347,0.927315229,0.621127667,0,0.236746413,0,0.138854154,2.203684902,0,0,0.366397803,0,0,1.428571429,0,0,0,1.895224257,3.445248065,1.590873251,4.820156007,2.6848846,0.86356738,0.549510187,0.164082753,0.109877142,0.301816143,0,0,0,0,1.799655006
12.44,C16:2 FAME,PUFA,0,0,0,0,0,0,0,2.956563611,0,0,0,0,0,2.156917953,0,105.2743548,0,0,0,0,0,0,20.2987665,7.850583563,0,0.366180957,3.098310822,0,0.192001562,0.494301513,5.297329102,4.884009623
12.5,C16:1 FAME,MUFA,6.768379885,0.997938188,0.381693423,0.652872786,0.728421094,0,0,0,0,0,2.121584735,8.682917199,4.054696453,13.25392393,10.92026414,348.5659109,76.87806464,22.27662501,1.278873619,4.021947215,0,0,0,0,0,0,0,0,0,0,0,0
12.64,n-C16:0 FAME,Short_Saturated,16.56279176,9.374258608,9.98969432,2.24733677,4.25130645,3.153553959,7.914901933,33.29137097,2.517701756,1.563766653,7.540546283,12.10727559,8.056089929,25.23574219,17.11481551,300.7639767,206.0109989,149.3643531,107.0585972,182.5195964,157.2819809,60.66193764,20.09819149,15.58973981,1.431071791,2.113022753,3.218800187,0.197036894,3.418663196,3.467849334,7.883445779,26.52680621
12.7,C16:1 FAME,MUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.84,C4 nitrogen ring,Aromatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26105255,0,0
12.87,n-C16:0 FAME,Short_Saturated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.89,C16:2 FAME,PUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.864859679,2.332913461,1.372345663,0,0,0,0,0,0,0,0,0,0,0,0,0
12.93,i-C17:0 FAME,Branched,0,0,0,0,0,0,0,3.047826001,0,0,0,0,0,0,0,0,3.156944109,1.122764383,1.124848018,0,4.454563273,1.788827539,0,0,0,0,0,0,0.555549471,0.376231096,0,2.820683347
12.98,n-C17:0 FAME,Short_Saturated,3.128546826,1.842927026,0.473088843,0.148897231,0.280320584,0,0,0,0,0,0.31640603,0,0,1.045402489,0.797865483,5.879859711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221618741,0.137313127,0
13,C16:2 FAME,PUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.036605054,6.288772287,5.135275731,11.74200596,3.779720875,2.050975737,0,0,0,0,0,0,0,0,0,0
